,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
20319,Ridgecrest,CA,Fireball,2009-11-17,23:05,Terça-feira,17,11
20320,Manhattan,MT,Other,2009-11-17,22:00,Terça-feira,17,11
20322,York,PA,Unknown,2009-11-17,21:30,Terça-feira,17,11
20323,Barre,VT,Light,2009-11-17,19:30,Terça-feira,17,11
20324,Mahanoy City,PA,Unknown,2009-11-17,19:30,Terça-feira,17,11
20325,Mindoro,WI,Light,2009-11-17,19:00,Terça-feira,17,11
20327,Caledonia County,VT,Sphere,2009-11-17,18:15,Terça-feira,17,11
20328,West Lebanon,NH,Unknown,2009-11-17,18:07,Terça-feira,17,11
20329,Death Valley (Stovepipe Wells),CA,Oval,2009-11-17,17:35,Terça-feira,17,11
20330,Chicago,IL,Oval,2009-11-17,09:00,Terça-feira,17,11
20332,Wrightsville Beach,NC,Disk,2009-11-17,03:00,Terça-feira,17,11
20333,Woodland Hills,CA,Fireball,2009-11-17,01:13,Terça-feira,17,11
20334,Ironton,OH,Other,2009-11-17,01:00,Terça-feira,17,11
20335,Venice,CA,Light,2009-11-16,22:28,Segunda-feira,16,11
20336,Ventura,CA,Formation,2009-11-16,22:20,Segunda-feira,16,11
20337,Mount Vernon,WA,Unknown,2009-11-16,22:00,Segunda-feira,16,11
20338,Austin,TX,Other,2009-11-16,21:00,Segunda-feira,16,11
20339,Green Valley,AZ,Light,2009-11-16,20:00,Segunda-feira,16,11
20340,Kerhonkson,NY,Changing,2009-11-16,20:00,Segunda-feira,16,11
20341,Woodbridge,VA,Circle,2009-11-16,19:58,Segunda-feira,16,11
20342,Paradise,CA,Light,2009-11-16,19:57,Segunda-feira,16,11
20343,Marana/Tucson (north of),AZ,Triangle,2009-11-16,19:00,Segunda-feira,16,11
20344,Queen Creek,AZ,Changing,2009-11-16,19:00,Segunda-feira,16,11
20345,Monee,IL,Light,2009-11-16,19:00,Segunda-feira,16,11
20346,Glasgow,MT,Light,2009-11-16,18:39,Segunda-feira,16,11
20348,Sanford,NC,Other,2009-11-16,00:00,Segunda-feira,16,11
20350,Farmington,MO,Other,2009-11-15,22:00,Domingo,15,11
20352,Odessa,TX,Rectangle,2009-11-15,20:00,Domingo,15,11
20354,Healdsburg,CA,Disk,2009-11-15,19:30,Domingo,15,11
20356,Odessa,TX,Formation,2009-11-15,19:15,Domingo,15,11
20357,Belgrade,ME,Circle,2009-11-15,19:00,Domingo,15,11
20358,Litchfield,ME,Light,2009-11-15,18:30,Domingo,15,11
20359,Delta,OH,Light,2009-11-15,18:00,Domingo,15,11
20360,Auburn/Skaneateles (between),NY,Disk,2009-11-15,14:05,Domingo,15,11
20361,Philippi,WV,Unknown,2009-11-15,10:30,Domingo,15,11
20363,New York City (Queens),NY,Oval,2009-11-15,02:30,Domingo,15,11
20364,New York City (Queens; Elmhurst),NY,Oval,2009-11-15,02:30,Domingo,15,11
20365,Eau Claire,WI,Other,2009-11-15,00:30,Domingo,15,11
20369,Springboro,OH,Oval,2009-11-14,21:30,Sábado,14,11
20370,Larned,KS,Circle,2009-11-14,21:15,Sábado,14,11
20371,Monterey,CA,Light,2009-11-14,20:36,Sábado,14,11
20373,Rockingham,NC,Triangle,2009-11-14,19:00,Sábado,14,11
20374,Farmingdale,ME,Flash,2009-11-14,19:00,Sábado,14,11
20375,Blacksburg,VA,Other,2009-11-14,17:45,Sábado,14,11
20378,Toledo,OH,Light,2009-11-13,23:00,Sexta-feira,13,11
20379,Sarasota,FL,Light,2009-11-13,22:30,Sexta-feira,13,11
20380,New Haven,VT,Circle,2009-11-13,22:00,Sexta-feira,13,11
20381,Hickman,CA,Light,2009-11-13,21:30,Sexta-feira,13,11
20382,Apopka,FL,Light,2009-11-13,20:15,Sexta-feira,13,11
20383,Stockbridge,GA,Triangle,2009-11-13,20:00,Sexta-feira,13,11
20384,Taylor Mill,KY,Fireball,2009-11-13,19:35,Sexta-feira,13,11
20385,Cincinnati,OH,Fireball,2009-11-13,19:00,Sexta-feira,13,11
20386,Stuart,FL,Unknown,2009-11-13,18:45,Sexta-feira,13,11
20387,Phoenix,NY,Light,2009-11-13,17:00,Sexta-feira,13,11
20388,Port St Lucie,FL,Unknown,2009-11-13,06:45,Sexta-feira,13,11
20389,Harper,KS,Light,2009-11-13,03:00,Sexta-feira,13,11
20390,Camarillo,CA,Unknown,2009-11-13,03:00,Sexta-feira,13,11
20391,Celina,TX,Circle,2009-11-13,01:15,Sexta-feira,13,11
20393,Denton,TX,Light,2009-11-12,23:15,Quinta-feira,12,11
20394,Buda,TX,Changing,2009-11-12,21:30,Quinta-feira,12,11
20395,Sioux City,IA,Flash,2009-11-12,21:00,Quinta-feira,12,11
20397,Cold Spring,KY,Other,2009-11-12,19:45,Quinta-feira,12,11
20398,Rochester,NY,Light,2009-11-12,18:30,Quinta-feira,12,11
20399,Mountain Grove,MO,Light,2009-11-12,18:00,Quinta-feira,12,11
20400,Atlanta,GA,Sphere,2009-11-12,08:17,Quinta-feira,12,11
20401,Nashville,TN,Unknown,2009-11-12,06:50,Quinta-feira,12,11
20402,Rochester,NY,Light,2009-11-12,06:05,Quinta-feira,12,11
20403,Deatsville,AL,Light,2009-11-12,05:08,Quinta-feira,12,11
20404,Fulton,NY,Disk,2009-11-12,03:00,Quinta-feira,12,11
20405,Warrenton,MO,Fireball,2009-11-12,01:35,Quinta-feira,12,11
20406,Kansas City,MO,Flash,2009-11-12,01:30,Quinta-feira,12,11
20407,New Kensington,PA,Sphere,2009-11-11,19:30,Quarta-feira,11,11
20408,Beverly Hills,MI,Light,2009-11-11,19:00,Quarta-feira,11,11
20409,Marysville,WA,Light,2009-11-11,18:00,Quarta-feira,11,11
20410,Monterey/San Francisco (between; in-flight sighting),CA,Disk,2009-11-11,17:35,Quarta-feira,11,11
20412,Noblesville,IN,Other,2009-11-11,10:00,Quarta-feira,11,11
20413,Monroe,GA,Circle,2009-11-11,01:20,Quarta-feira,11,11
20415,Vincennes,IN,Triangle,2009-11-11,00:30,Quarta-feira,11,11
20416,Austin,TX,Other,2009-11-11,00:00,Quarta-feira,11,11
20417,Columbia,MO,Sphere,2009-11-10,17:00,Terça-feira,10,11
20418,Atlanta,GA,Circle,2009-11-10,15:00,Terça-feira,10,11
20419,Boston,MA,Oval,2009-11-10,09:15,Terça-feira,10,11
20421,Eastland,TX,Flash,2009-11-10,07:30,Terça-feira,10,11
20423,Birmingham,AL,Triangle,2009-11-10,01:00,Terça-feira,10,11
20424,East Brunswick,NJ,Disk,2009-11-10,00:52,Terça-feira,10,11
20425,Norwood/Springfield (between),MO,Light,2009-11-09,22:00,Segunda-feira,9,11
20426,Havre,MT,Fireball,2009-11-09,21:00,Segunda-feira,9,11
20427,Seattle,WA,Triangle,2009-11-09,21:00,Segunda-feira,9,11
20428,Bridgeport,IL,Light,2009-11-09,20:40,Segunda-feira,9,11
20429,Hesperia,CA,Disk,2009-11-09,18:40,Segunda-feira,9,11
20430,Lakewood,CO,Sphere,2009-11-09,18:25,Segunda-feira,9,11
20431,Lebanon,MO,Light,2009-11-09,18:20,Segunda-feira,9,11
20432,Highlands Ranch,CO,Fireball,2009-11-09,18:15,Segunda-feira,9,11
20433,Eloy,AZ,Disk,2009-11-09,18:10,Segunda-feira,9,11
20435,Morgantown,WV,Triangle,2009-11-08,23:35,Domingo,8,11
20436,Chester,CA,Other,2009-11-08,20:17,Domingo,8,11
20437,San Bruno,CA,Fireball,2009-11-08,19:10,Domingo,8,11
20438,Whitney Point,NY,Circle,2009-11-08,19:05,Domingo,8,11
20439,Tinley Park,IL,Light,2009-11-08,18:24,Domingo,8,11
20440,Yakima,WA,Light,2009-11-08,18:04,Domingo,8,11
20441,Rubidoux,CA,Light,2009-11-08,17:00,Domingo,8,11
20442,Tulsa,OK,Circle,2009-11-08,06:55,Domingo,8,11
20445,Franklin,NC,Unknown,2009-11-07,23:00,Sábado,7,11
20446,Horseshoe Springs,UT,Fireball,2009-11-07,23:00,Sábado,7,11
20448,Ft. Mitchell,KY,Light,2009-11-07,20:54,Sábado,7,11
20449,Erlanger,KY,Unknown,2009-11-07,19:52,Sábado,7,11
20452,Honolulu,HI,Other,2009-11-07,10:26,Sábado,7,11
20453,Saline Valley,CA,Unknown,2009-11-07,09:00,Sábado,7,11
20454,Chambersburg,PA,Circle,2009-11-07,07:18,Sábado,7,11
20455,Hopkins,MN,Light,2009-11-07,02:30,Sábado,7,11
20457,Farmington,NM,Disk,2009-11-06,21:45,Sexta-feira,6,11
20458,Longmont,CO,Light,2009-11-06,18:20,Sexta-feira,6,11
20459,Biloxi,MS,Circle,2009-11-06,18:00,Sexta-feira,6,11
20460,Austin,TX,Cigar,2009-11-06,16:05,Sexta-feira,6,11
20461,Tampa,FL,Cigar,2009-11-06,08:15,Sexta-feira,6,11
20464,Ponchatoula,LA,Fireball,2009-11-05,23:59,Quinta-feira,5,11
20465,Plant City,FL,Other,2009-11-05,23:00,Quinta-feira,5,11
20466,Franklinton,NC,Fireball,2009-11-05,22:45,Quinta-feira,5,11
20469,Aventura,FL,Light,2009-11-05,21:00,Quinta-feira,5,11
20473,Grapevine,TX,Light,2009-11-05,19:45,Quinta-feira,5,11
20474,Fort Walton Beach,FL,Triangle,2009-11-05,19:30,Quinta-feira,5,11
20475,Beloit,WI,Fireball,2009-11-05,18:33,Quinta-feira,5,11
20477,Valencia,CA,Light,2009-11-05,05:00,Quinta-feira,5,11
20478,North Bergen,NJ,Disk,2009-11-05,00:45,Quinta-feira,5,11
20479,Wellton,AZ,Light,2009-11-04,20:15,Quarta-feira,4,11
20480,Salem,OR,Triangle,2009-11-04,18:30,Quarta-feira,4,11
20481,Pleasanton,CA,Other,2009-11-04,18:00,Quarta-feira,4,11
20482,Toms River,NJ,Unknown,2009-11-04,17:45,Quarta-feira,4,11
20483,Rockford,MI,Light,2009-11-04,16:30,Quarta-feira,4,11
20485,Mechanicsburg,PA,Other,2009-11-03,22:05,Terça-feira,3,11
20486,Fuquay Varina,NC,Light,2009-11-03,19:30,Terça-feira,3,11
20487,Wellington,FL,Disk,2009-11-03,19:00,Terça-feira,3,11
20488,Oklahoma City,OK,Other,2009-11-03,18:50,Terça-feira,3,11
20489,Laurel,MD,Sphere,2009-11-03,15:45,Terça-feira,3,11
20490,Springfield,MO,Disk,2009-11-03,00:11,Terça-feira,3,11
20492,Owasso,OK,Triangle,2009-11-03,00:00,Terça-feira,3,11
20493,Gatesville,TX,Rectangle,2009-11-02,22:40,Segunda-feira,2,11
20495,Madison,OH,Triangle,2009-11-02,21:00,Segunda-feira,2,11
20496,Omaha,NE,Light,2009-11-02,21:00,Segunda-feira,2,11
20498,Coos Bay,OR,Circle,2009-11-02,20:30,Segunda-feira,2,11
20499,Bainbridge Island,WA,Flash,2009-11-02,18:00,Segunda-feira,2,11
20500,West Palm Beach,FL,Changing,2009-11-02,09:00,Segunda-feira,2,11
20501,Paterson,NJ,Triangle,2009-11-01,23:00,Domingo,1,11
20502,Knoxville,GA,Rectangle,2009-11-01,22:00,Domingo,1,11
20503,El Dorado Hills (suburb of Sacramento),CA,Light,2009-11-01,21:25,Domingo,1,11
20504,Tampa,FL,Triangle,2009-11-01,21:15,Domingo,1,11
20505,Merrillville,IN,Disk,2009-11-01,21:00,Domingo,1,11
20506,Post,TX,Light,2009-11-01,20:40,Domingo,1,11
20508,Corpus Christi,TX,Unknown,2009-11-01,20:00,Domingo,1,11
20510,Richmond,VA,Triangle,2009-11-01,18:30,Domingo,1,11
20511,Redondo Beach,CA,Triangle,2009-11-01,18:06,Domingo,1,11
20512,New Albany,IN,Oval,2009-11-01,17:20,Domingo,1,11
20513,North Charleston,SC,Rectangle,2009-11-01,17:00,Domingo,1,11
20514,Ottumwa,IA,Sphere,2009-11-01,16:15,Domingo,1,11
20515,Louin,MS,Sphere,2009-11-01,12:00,Domingo,1,11
20516,Redding,CA,Changing,2009-11-01,01:48,Domingo,1,11
20517,El Cajon,CA,Triangle,2009-12-31,23:59,Quinta-feira,31,12
20518,Austin,TX,Disk,2009-12-31,23:46,Quinta-feira,31,12
20520,Covina,CA,Light,2009-12-31,23:45,Quinta-feira,31,12
20521,St. Louis,MO,Circle,2009-12-31,23:30,Quinta-feira,31,12
20522,Livingston,LA,Unknown,2009-12-31,23:30,Quinta-feira,31,12
20523,Lake Worth,FL,Circle,2009-12-31,23:15,Quinta-feira,31,12
20524,Jackson,WI,Light,2009-12-31,23:15,Quinta-feira,31,12
20525,Aberdeen,SD,Formation,2009-12-31,23:00,Quinta-feira,31,12
20527,Tomball,TX,Circle,2009-12-31,22:00,Quinta-feira,31,12
20528,Mandeville,LA,Disk,2009-12-31,21:45,Quinta-feira,31,12
20529,Slidell,LA,Sphere,2009-12-31,21:00,Quinta-feira,31,12
20530,Mandeville,LA,Light,2009-12-31,21:00,Quinta-feira,31,12
20531,Slidell,LA,Sphere,2009-12-31,21:00,Quinta-feira,31,12
20532,Denver,CO,Triangle,2009-12-31,21:00,Quinta-feira,31,12
20536,N. Hollywood,CA,Cigar,2009-12-31,10:30,Quinta-feira,31,12
20537,Spring Hill,TN,Disk,2009-12-31,09:30,Quinta-feira,31,12
20540,Lemon Grove,CA,Circle,2009-12-31,00:00,Quinta-feira,31,12
20541,Boise,ID,Light,2009-12-30,21:04,Quarta-feira,30,12
20542,Stanhope,NJ,Light,2009-12-30,19:00,Quarta-feira,30,12
20543,Gulf of Mexico (over),TX,Other,2009-12-30,14:00,Quarta-feira,30,12
20544,Meriden,CT,Fireball,2009-12-30,06:20,Quarta-feira,30,12
20545,Celebration,FL,Triangle,2009-12-30,00:15,Quarta-feira,30,12
20547,Perryville,MD,Circle,2009-12-29,23:00,Terça-feira,29,12
20548,La Pine,OR,Disk,2009-12-29,21:00,Terça-feira,29,12
20550,Durham,NC,Fireball,2009-12-29,20:50,Terça-feira,29,12
20551,Valdosta,GA,Unknown,2009-12-29,20:40,Terça-feira,29,12
20552,Columbia,SC,Light,2009-12-29,20:30,Terça-feira,29,12
20554,New York City (Brooklyn),NY,Light,2009-12-29,20:00,Terça-feira,29,12
20556,Temperence,MI,Light,2009-12-29,01:00,Terça-feira,29,12
20558,Oak Harbor,WA,Fireball,2009-12-28,18:00,Segunda-feira,28,12
20559,Statesboro,GA,Disk,2009-12-28,06:00,Segunda-feira,28,12
20560,Cherry Grove,SC,Triangle,2009-12-28,03:30,Segunda-feira,28,12
20561,Mount Cobb,PA,Circle,2009-12-28,01:45,Segunda-feira,28,12
20563,Riverside,CA,Disk,2009-12-27,22:00,Domingo,27,12
20564,Honolulu,HI,Circle,2009-12-27,20:00,Domingo,27,12
20565,Pembroke Pines,FL,Light,2009-12-27,18:11,Domingo,27,12
20566,Spring Grove,PA,Rectangle,2009-12-27,05:45,Domingo,27,12
20567,Spring Grove,PA,Rectangle,2009-12-27,05:45,Domingo,27,12
20574,Bethel,AK,Disk,2009-12-26,17:30,Sábado,26,12
20575,Vancouver,WA,Light,2009-12-26,16:35,Sábado,26,12
20576,Tacoma,WA,Light,2009-12-26,16:35,Sábado,26,12
20579,Reno,NV,Unknown,2009-12-26,06:15,Sábado,26,12
20580,Mico,TX,Formation,2009-12-26,01:36,Sábado,26,12
20581,Riverside,CA,Formation,2009-12-26,00:00,Sábado,26,12
20582,Lonoke,AR,Unknown,2009-12-25,21:00,Sexta-feira,25,12
20584,Cleburne,TX,Triangle,2009-12-25,19:46,Sexta-feira,25,12
20587,Kelso,WA,Sphere,2009-12-25,16:25,Sexta-feira,25,12
20588,Loudon,TN,Circle,2009-12-25,09:33,Sexta-feira,25,12
20589,Los Gatos,CA,Light,2009-12-25,03:00,Sexta-feira,25,12
20590,Calhoun,GA,Oval,2009-12-25,01:00,Sexta-feira,25,12
20591,Seabrook,TX,Unknown,2009-12-25,00:30,Sexta-feira,25,12
20593,Phillips Ranch,CA,Changing,2009-12-24,23:35,Quinta-feira,24,12
20597,Weymouth,MA,Other,2009-12-24,21:00,Quinta-feira,24,12
20600,Anaheim,CA,Formation,2009-12-24,18:30,Quinta-feira,24,12
20602,Fairfax,VA,Other,2009-12-24,01:00,Quinta-feira,24,12
20604,Grafton,MA,Circle,2009-12-23,21:00,Quarta-feira,23,12
20605,Baton Rouge,LA,Light,2009-12-23,19:47,Quarta-feira,23,12
20606,Boston,MA,Triangle,2009-12-23,19:30,Quarta-feira,23,12
20607,Lancaster,OH,Triangle,2009-12-23,19:00,Quarta-feira,23,12
20608,Burkeville,TX,Other,2009-12-23,15:49,Quarta-feira,23,12
20609,Columbus,NJ,Oval,2009-12-23,15:20,Quarta-feira,23,12
20610,Chico,CA,Light,2009-12-23,03:10,Quarta-feira,23,12
20611,Tacoma,WA,Cigar,2009-12-23,01:38,Quarta-feira,23,12
20613,Lexington,NC,Light,2009-12-22,22:45,Terça-feira,22,12
20614,Wellersburg,PA,Light,2009-12-22,21:00,Terça-feira,22,12
20615,Jacobs Mill,PA,Formation,2009-12-22,20:25,Terça-feira,22,12
20616,Bucksport,ME,Triangle,2009-12-22,16:00,Terça-feira,22,12
20618,Vero Beach,FL,Fireball,2009-12-21,21:30,Segunda-feira,21,12
20620,Hampton Bays,NY,Other,2009-12-21,19:50,Segunda-feira,21,12
20622,Bucksport,ME,Triangle,2009-12-21,15:30,Segunda-feira,21,12
20624,Stanley,NM,Circle,2009-12-21,00:00,Segunda-feira,21,12
20625,Fullerton,CA,Other,2009-12-20,21:00,Domingo,20,12
20627,Salinas,CA,Triangle,2009-12-20,19:00,Domingo,20,12
20628,Chula Vista,CA,Circle,2009-12-20,18:30,Domingo,20,12
20629,Green Bay,WI,Circle,2009-12-20,17:20,Domingo,20,12
20631,Glen Allen,VA,Unknown,2009-12-20,12:00,Domingo,20,12
20632,Carlsbad,CA,Light,2009-12-20,06:13,Domingo,20,12
20633,Hollister ( Lone Tree Road),CA,Disk,2009-12-20,05:45,Domingo,20,12
20634,Sartell,MN,Light,2009-12-20,05:40,Domingo,20,12
20636,Phoenix,AZ,Light,2009-12-19,19:15,Sábado,19,12
20637,San Francisco,CA,Circle,2009-12-19,18:25,Sábado,19,12
20638,Stanley,NM,Sphere,2009-12-19,18:00,Sábado,19,12
20640,Campbell,CA,Unknown,2009-12-19,01:45,Sábado,19,12
20641,Denver,CO,Disk,2009-12-18,22:15,Sexta-feira,18,12
20643,Leggett,CA,Oval,2009-12-18,20:10,Sexta-feira,18,12
20645,Partlow,VA,Circle,2009-12-17,22:24,Quinta-feira,17,12
20646,Norton,MA,Unknown,2009-12-17,21:00,Quinta-feira,17,12
20647,Ryland Heights,KY,Other,2009-12-17,21:00,Quinta-feira,17,12
20648,Colorado Springs,CO,Triangle,2009-12-17,21:00,Quinta-feira,17,12
20649,Willington,CT,Circle,2009-12-17,21:00,Quinta-feira,17,12
20650,Delta Junction,AK,Triangle,2009-12-17,20:00,Quinta-feira,17,12
20651,Berkeley,CA,Light,2009-12-17,20:00,Quinta-feira,17,12
20653,Springerville,AZ,Flash,2009-12-17,05:00,Quinta-feira,17,12
20654,Linden,NJ,Unknown,2009-12-17,00:00,Quinta-feira,17,12
20655,Colton,CA,Disk,2009-12-16,21:20,Quarta-feira,16,12
20656,New Freedom,PA,Light,2009-12-16,19:50,Quarta-feira,16,12
20658,Perris,CA,Disk,2009-12-16,08:00,Quarta-feira,16,12
20659,Leakey,TX,Oval,2009-12-16,06:30,Quarta-feira,16,12
20660,Preston,MD,Light,2009-12-15,22:45,Terça-feira,15,12
20661,Huntington Beach,CA,Changing,2009-12-15,19:00,Terça-feira,15,12
20662,O'Fallon,MO,Unknown,2009-12-15,18:15,Terça-feira,15,12
20663,Tupelp,MS,Light,2009-12-15,18:15,Terça-feira,15,12
20664,Richland Hills,TX,Triangle,2009-12-15,12:23,Terça-feira,15,12
20665,Overland Park,KS,Unknown,2009-12-15,08:30,Terça-feira,15,12
20666,Ashton,NV,Formation,2009-12-15,06:44,Terça-feira,15,12
20669,San Carlos,CA,Rectangle,2009-12-14,00:00,Segunda-feira,14,12
20671,Walnut Springs,TX,Light,2009-12-14,21:00,Segunda-feira,14,12
20673,Mendon,MA,Unknown,2009-12-14,09:04,Segunda-feira,14,12
20674,Temecula,CA,Unknown,2009-12-14,04:45,Segunda-feira,14,12
20675,Stratford,CT,Circle,2009-12-14,04:30,Segunda-feira,14,12
20676,West Babylon,NY,Disk,2009-12-13,23:25,Domingo,13,12
20677,Ontario,CA,Triangle,2009-12-13,23:00,Domingo,13,12
20678,Fort Worth,TX,Other,2009-12-13,22:45,Domingo,13,12
20680,West Covina,CA,Triangle,2009-12-13,17:15,Domingo,13,12
20681,Aventura,FL,Light,2009-12-13,14:00,Domingo,13,12
20682,Land O'Lakes,FL,Light,2009-12-13,00:49,Domingo,13,12
20685,New York City (Staten Island),NY,Circle,2009-12-12,23:00,Sábado,12,12
20686,Long Beach,CA,Unknown,2009-12-12,22:30,Sábado,12,12
20687,Washington,NJ,Oval,2009-12-12,22:00,Sábado,12,12
20688,Pleasant Shade,TN,Sphere,2009-12-12,22:00,Sábado,12,12
20689,Media,PA,Circle,2009-12-12,22:00,Sábado,12,12
20690,Santa Monica,CA,Formation,2009-12-12,21:30,Sábado,12,12
20693,Daly City,CA,Triangle,2009-12-12,19:00,Sábado,12,12
20694,Latham,NY,Triangle,2009-12-12,18:28,Sábado,12,12
20695,Troy,IL,Circle,2009-12-12,18:10,Sábado,12,12
20696,Francestown,NH,Circle,2009-12-12,18:05,Sábado,12,12
20698,Mahwah,NJ,Fireball,2009-12-12,17:51,Sábado,12,12
20699,Niantic,CT,Light,2009-12-12,17:50,Sábado,12,12
20700,Cochranville,PA,Fireball,2009-12-12,17:50,Sábado,12,12
20701,Oklahoma City,OK,Other,2009-12-12,04:00,Sábado,12,12
20702,Thornton,CO,Triangle,2009-12-12,04:00,Sábado,12,12
20703,Towson,MD,Sphere,2009-12-12,02:10,Sábado,12,12
20704,St. Louis Park,MN,Oval,2009-12-11,23:00,Sexta-feira,11,12
20705,Rockville,MD,Triangle,2009-12-11,22:41,Sexta-feira,11,12
20706,Sewell,NJ,Light,2009-12-11,20:30,Sexta-feira,11,12
20707,Dexter,MI,Other,2009-12-11,20:00,Sexta-feira,11,12
20708,Shreveport,LA,Unknown,2009-12-11,20:00,Sexta-feira,11,12
20709,Baton Rouge,LA,Light,2009-12-11,18:20,Sexta-feira,11,12
20711,Hauppauge,NY,Circle,2009-12-11,05:50,Sexta-feira,11,12
20712,Carlsbad,CA,Light,2009-12-11,02:50,Sexta-feira,11,12
20713,Inver Grove Heights,MN,Fireball,2009-12-11,01:15,Sexta-feira,11,12
20714,Chatham,VA,Oval,2009-12-11,01:00,Sexta-feira,11,12
20716,Spring Hill,TN,Disk,2009-12-10,22:00,Quinta-feira,10,12
20717,Wappingers Falls,NY,Light,2009-12-10,21:25,Quinta-feira,10,12
20718,Des Allemands,LA,Sphere,2009-12-10,19:27,Quinta-feira,10,12
20719,Canon City,CO,Flash,2009-12-10,18:00,Quinta-feira,10,12
20720,Colorado Springs,CO,Disk,2009-12-10,18:00,Quinta-feira,10,12
20721,Woodbridge,VA,Other,2009-12-10,17:50,Quinta-feira,10,12
20722,Drums,PA,Light,2009-12-09,23:45,Quarta-feira,9,12
20724,"Washington, D.C.",DC,Sphere,2009-12-09,23:00,Quarta-feira,9,12
20725,Buckeye,AZ,Light,2009-12-09,21:00,Quarta-feira,9,12
20726,Lenzburg,IL,Circle,2009-12-09,19:20,Quarta-feira,9,12
20727,Lenzburg,IL,Circle,2009-12-09,19:20,Quarta-feira,9,12
20728,Belton,TX,Other,2009-12-09,18:25,Quarta-feira,9,12
20729,Newport Beach,CA,Disk,2009-12-08,20:00,Terça-feira,8,12
20731,Cape Fair,MO,Rectangle,2009-12-08,19:00,Terça-feira,8,12
20733,Elmira,NY,Changing,2009-12-08,00:00,Terça-feira,8,12
20735,Marathon,FL,Fireball,2009-12-07,21:00,Segunda-feira,7,12
20736,Mineral,VA,Oval,2009-12-07,20:40,Segunda-feira,7,12
20737,Arizona or Colorano (inflight sighting),AZ,Circle,2009-12-07,18:00,Segunda-feira,7,12
20738,Beaverton,OR,Formation,2009-12-07,02:00,Segunda-feira,7,12
20739,Key West,FL,Other,2009-12-07,01:30,Segunda-feira,7,12
20740,Mims,FL,Light,2009-12-06,20:45,Domingo,6,12
20741,Honolulu,HI,Light,2009-12-06,19:30,Domingo,6,12
20743,Preble,NY,Light,2009-12-06,18:57,Domingo,6,12
20744,Temecula,CA,Disk,2009-12-06,18:40,Domingo,6,12
20745,Frankfort,IL,Formation,2009-12-06,17:55,Domingo,6,12
20746,Taylors,SC,Other,2009-12-06,12:00,Domingo,6,12
20747,Auburn,WA,Unknown,2009-12-06,01:10,Domingo,6,12
20748,Murrieta,CA,Disk,2009-12-06,01:00,Domingo,6,12
20749,Menifee,CA,Circle,2009-12-05,22:14,Sábado,5,12
20750,Murray,KY,Rectangle,2009-12-05,21:06,Sábado,5,12
20751,Temecula,CA,Circle,2009-12-05,20:00,Sábado,5,12
20752,Phoenix,AZ,Light,2009-12-05,20:00,Sábado,5,12
20753,Temecula,CA,Circle,2009-12-05,18:45,Sábado,5,12
20754,Gifford,IL,Circle,2009-12-05,17:30,Sábado,5,12
20755,Hugo (southeast OK),OK,Unknown,2009-12-05,16:00,Sábado,5,12
20757,Danville,VA,Oval,2009-12-04,22:00,Sexta-feira,4,12
20758,Youngstown,OH,Formation,2009-12-04,20:45,Sexta-feira,4,12
20760,Woodsville,NH,Triangle,2009-12-04,20:00,Sexta-feira,4,12
20761,Canfield,OH,Circle,2009-12-04,20:00,Sexta-feira,4,12
20762,Buffalo,NY,Light,2009-12-04,18:00,Sexta-feira,4,12
20764,Parksley,VA,Triangle,2009-12-04,17:45,Sexta-feira,4,12
20765,Heidelburg,MS,Triangle,2009-12-04,17:30,Sexta-feira,4,12
20767,Conway,NH,Light,2009-12-04,08:04,Sexta-feira,4,12
20768,Alexandria,KY,Triangle,2009-12-04,05:00,Sexta-feira,4,12
20769,Vassalboro,ME,Light,2009-12-04,04:50,Sexta-feira,4,12
20770,Vero Beach,FL,Light,2009-12-03,21:00,Quinta-feira,3,12
20771,Bartlett,IL,Light,2009-12-03,20:35,Quinta-feira,3,12
20773,Puyallup,WA,Sphere,2009-12-03,17:30,Quinta-feira,3,12
20774,North Port,FL,Unknown,2009-12-03,13:22,Quinta-feira,3,12
20776,St. George,UT,Light,2009-12-03,06:30,Quinta-feira,3,12
20778,Tucson,AZ,Circle,2009-12-02,23:00,Quarta-feira,2,12
20779,Fort Greely,AK,Triangle,2009-12-02,21:20,Quarta-feira,2,12
20780,Conover,NC,Light,2009-12-02,21:00,Quarta-feira,2,12
20781,Wickenburg,AZ,Cigar,2009-12-02,20:45,Quarta-feira,2,12
20782,Harrisonburg,VA,Formation,2009-12-02,19:00,Quarta-feira,2,12
20783,San Dimas,CA,Oval,2009-12-02,18:30,Quarta-feira,2,12
20784,Grass Valley,CA,Disk,2009-12-02,10:30,Quarta-feira,2,12
20785,Terre Haute,IN,Light,2009-12-02,06:35,Quarta-feira,2,12
20786,Seattle,WA,Fireball,2009-12-02,03:24,Quarta-feira,2,12
20787,Mt. Rainier National Park,WA,Other,2009-12-02,03:19,Quarta-feira,2,12
20788,Iota,LA,Light,2009-12-02,02:00,Quarta-feira,2,12
20789,Torrance,CA,Triangle,2009-12-02,00:00,Quarta-feira,2,12
20790,Blanchard,MI,Light,2009-12-01,23:00,Terça-feira,1,12
20791,Napa,CA,Light,2009-12-01,22:55,Terça-feira,1,12
20792,Fresno,CA,Light,2009-12-01,22:00,Terça-feira,1,12
20793,Lake Wales,FL,Triangle,2009-12-01,21:30,Terça-feira,1,12
