,City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
106,Nettleton,MS,Light,1998-05-15,07:30,Sexta-feira,15,5
107,Pampa,TX,Light,1998-05-12,03:00,Terça-feira,12,5
108,Deerfield Beach,FL,Light,1998-05-08,21:40,Sexta-feira,8,5
109,Colorado Springs,CO,Other,1998-05-06,20:00,Quarta-feira,6,5
110,Las Vegas,NV,Triangle,1998-05-03,21:00,Domingo,3,5
111,Gwinn,MI,Triangle,1998-05-01,22:00,Sexta-feira,1,5
113,Los Angeles,CA,Unknown,1998-06-30,23:00,Terça-feira,30,6
114,Brooklyn,MI,Oval,1998-06-30,21:30,Terça-feira,30,6
115,Alpha,IL,Circle,1998-06-30,13:00,Terça-feira,30,6
117,Commerce Township,MI,Changing,1998-06-30,10:00,Terça-feira,30,6
118,Port St. Lucie,FL,Disk,1998-06-30,03:00,Terça-feira,30,6
120,Quartzite,AZ,Flash,1998-06-30,01:30,Terça-feira,30,6
121,South Bend,IN,Unknown,1998-06-30,01:00,Terça-feira,30,6
123,Jacksonville,FL,Circle,1998-06-20,03:30,Sábado,20,6
124,Vincennes,IN,Light,1998-06-16,20:46,Terça-feira,16,6
125,Vincennes,IN,Light,1998-06-16,08:46,Terça-feira,16,6
126,Perry,OK,Unknown,1998-06-15,22:00,Segunda-feira,15,6
127,Perry,OK,Unknown,1998-06-15,22:00,Segunda-feira,15,6
128,Bellingham,WA,Light,1998-06-15,21:00,Segunda-feira,15,6
129,Bensalem,PA,Disk,1998-06-15,21:00,Segunda-feira,15,6
130,Beavercreek,OH,Other,1998-06-15,08:23,Segunda-feira,15,6
131,Montebello,CA,Light,1998-06-12,22:45,Sexta-feira,12,6
134,Mechanicsville,IA,Triangle,1998-06-10,20:00,Quarta-feira,10,6
135,Elba,NY,Light,1998-06-06,22:00,Sábado,6,6
136,Tampa,FL,Light,1998-06-06,21:30,Sábado,6,6
137,Salinas,CA,Fireball,1998-06-06,19:00,Sábado,6,6
141,Aransas Pass,TX,Circle,1998-06-01,23:00,Segunda-feira,1,6
143,Rancho Tehama,CA,Disk,1998-06-01,23:00,Segunda-feira,1,6
144,Cockeysville,MD,Unknown,1998-06-01,22:00,Segunda-feira,1,6
147,Portland,OR,Triangle,1998-06-01,22:00,Segunda-feira,1,6
148,Liberty County (on highway),MT,Other,1998-06-01,22:00,Segunda-feira,1,6
149,Valencia,CA,Triangle,1998-06-01,22:00,Segunda-feira,1,6
150,Wendover,UT,Triangle,1998-06-01,21:30,Segunda-feira,1,6
151,Sulphur,LA,Sphere,1998-06-01,21:00,Segunda-feira,1,6
152,New Rochelle,NY,Light,1998-06-01,20:00,Segunda-feira,1,6
153,Hunstville,AL,Changing,1998-06-01,18:00,Segunda-feira,1,6
155,Colville,WA,Other,1998-06-01,16:30,Segunda-feira,1,6
156,West Plains,MO,Triangle,1998-06-01,14:00,Segunda-feira,1,6
158,Los Angeles,CA,Disk,1998-06-01,12:30,Segunda-feira,1,6
160,Winston-Salem (north of),NC,Circle,1998-06-01,10:30,Segunda-feira,1,6
161,Ellensburg,WA,Light,1998-06-01,10:00,Segunda-feira,1,6
162,Danville,OH,Disk,1998-06-01,01:00,Segunda-feira,1,6
163,Waynesboro,VA,Disk,1998-07-30,22:00,Quinta-feira,30,7
164,Moscow Mills,MO,Cigar,1998-07-25,20:00,Sábado,25,7
165,Sulphur springs,TX,Triangle,1998-07-20,16:00,Segunda-feira,20,7
166,Sulphur Springs,TX,Triangle,1998-07-20,16:00,Segunda-feira,20,7
170,Scales Mound,IL,Light,1998-07-15,21:30,Quarta-feira,15,7
171,Sterling,VA,Disk,1998-07-15,19:00,Quarta-feira,15,7
