,City,Shape,Quantidade
12820,San Luis Obispo/Morro Bay (between),Cylinder,1.0
12821,Morgan Hill,Fireball,11.0
12839,Santa Clara,Oval,17.0
12853,Oxnard,Light,40.0
12855,McKinleyville,Other,3.0
12864,San Francisco,Circle,122.0
12872,Glendale,Light,25.0
12886,San Luis Obispo,Other,14.0
12890,Tulare,Sphere,5.0
12892,Mountain View,Triangle,8.0
12914,Sacramento (approx. 45 mi. from; heading to San Francisco),Disk,1.0
12924,Fresno,Light,96.0
12926,Atascadero,Light,6.0
12928,Orangevale,Sphere,9.0
12936,Long Beach,Fireball,91.0
12937,Bakersfield,Other,63.0
12951,Modesto,Sphere,67.0
12954,Lodi,Light,15.0
12955,Orangevale,Unknown,9.0
12966,Canoga Park,Disk,12.0
12971,Red Bluff,Circle,8.0
13008,Palmdale,Oval,34.0
13010,Roseville,Cylinder,38.0
13022,Sacramento,Circle,175.0
13029,Norwalk,Flash,21.0
13055,Sebastopol,Triangle,11.0
13062,Ojai,Changing,9.0
13070,Orleans,Light,2.0
13077,Van Nuys,Diamond,19.0
13087,Bakersfield,Circle,63.0
13092,Val Verde/Castaic,Light,1.0
13134,Mira Loma,Other,4.0
13142,Gridley,Formation,1.0
13157,Fremont,Cylinder,27.0
13168,Dana Point,Triangle,15.0
13179,San Diego,Other,269.0
13195,Hemet,Oval,27.0
13223,Phelan,Circle,6.0
13239,Long Beach,Fireball,91.0
13246,Pleasanton,Teardrop,15.0
13251,Sierra Nevada Mountains,Light,1.0
13256,Escondido,Light,55.0
13261,Rancho Cucamonga,Light,32.0
13296,Rialto,Light,13.0
13326,Novato,,11.0
13354,Yucca Valley,Unknown,6.0
13355,Folsom,Circle,17.0
13359,Solana Beach,Disk,3.0
13389,Temecula,Sphere,47.0
13391,Sierra Madre,Rectangle,2.0
13403,Lucerne Valley,Unknown,3.0
13425,Dlbliss state park Lake Tahoe,Triangle,1.0
13426,Daly City,Disk,10.0
13437,Los Angeles,Unknown,249.0
13447,Chula Vist,Circle,1.0
13454,Garden Grove,Light,29.0
13465,Oxnard,Other,40.0
13483,Palmdale,Fireball,34.0
13489,Pollock Pines,Cylinder,6.0
13565,Petaluma,Sphere,22.0
13588,Cupertino,Sphere,5.0
13603,Santa Maria,Sphere,20.0
13604,Beverly Hills,Flash,5.0
13637,La Palma,Sphere,4.0
13655,Bakersfield,Changing,63.0
13657,Gardena,Cigar,4.0
13666,Thousand Oaks,Oval,22.0
13668,Palmdale,Cylinder,34.0
13683,Redondo Beach,Disk,25.0
13685,Long Beach,Triangle,91.0
13703,San Francisco,Disk,122.0
13708,Modesto,Unknown,67.0
13724,Trabuco Canyon,Oval,3.0
13761,Pacoima,Light,4.0
13763,Napa,Light,27.0
13771,North Highlands,Light,5.0
13779,San Diego (Mira Mesa),Changing,1.0
13794,Elverta,Rectangle,2.0
13805,Bakersfield (40 miles north of),Unknown,1.0
13806,Roseville,Egg,38.0
13810,Mendota,Light,1.0
13812,Norwalk,Light,21.0
13817,Brentwood,Oval,9.0
13820,Nipomo,Oval,6.0
13822,Napa,Light,27.0
13825,Sacramento,Disk,175.0
13826,La Habra,Sphere,9.0
13837,Delano,Unknown,3.0
13852,Bakersfield,Rectangle,63.0
13855,,Triangle,
13864,Lancaster,Changing,28.0
13871,Olema,Triangle,1.0
13882,Los Angeles,Light,249.0
13883,Fremont,Sphere,27.0
13896,Orangevale,Circle,9.0
13900,San Diego,Other,269.0
13901,Chula Vista,Circle,26.0
13903,Mission Beach (San Diego),Light,1.0
13910,Sunnyvale,Egg,10.0
13927,Dublin,Circle,9.0
13930,Chula Vista,Oval,26.0
13934,Paso Robles,Cigar,13.0
13940,Irvine,Light,53.0
13958,Culver City,Chevron,11.0
14010,Riverside,Flash,67.0
14019,Riverside,Light,67.0
14029,Sonora,Circle,11.0
14031,Stockton,Fireball,34.0
14041,Burbank,Light,48.0
14052,Fullerton,Flash,25.0
14055,San Francisco,Circle,122.0
14060,Granda Hills,Sphere,1.0
14062,La Puente,Oval,13.0
14071,Santa Maria,Triangle,20.0
14074,Woodside,Triangle,1.0
14080,Felton,Formation,5.0
14082,Paramount,Triangle,8.0
14100,Montebello,Rectangle,9.0
14113,Playa del Rey,Flash,7.0
14128,Martinez,Oval,15.0
14137,Fremont,Changing,27.0
14153,Temecula,Triangle,47.0
14156,San Jacinto,Light,15.0
14178,South San Francisco,Unknown,5.0
14179,San Francisco,Triangle,122.0
14182,Sacramento,Light,175.0
14208,Los Angeles,Sphere,249.0
14210,Fortuna,Oval,5.0
14212,San Fernando,Sphere,7.0
14220,Salinas,Sphere,23.0
14221,Capistrano Beach,Cigar,2.0
14222,San Clemente,Changing,24.0
14230,San Francisco,Circle,122.0
14235,San Luis Obispo,Changing,14.0
14236,Acton or Palmdale,Triangle,1.0
14239,Cathedral City,Light,15.0
14241,Oxnard,Circle,40.0
14247,Los Angeles,Fireball,249.0
14270,San Diego,Triangle,269.0
14281,Riverside,Egg,67.0
14287,Riverside,Other,67.0
14293,Los Angeles (150-200 mi. e or ne of),Sphere,1.0
14312,San Juan Capistrano,Circle,8.0
14317,Hemet,Unknown,27.0
14320,Pleasant Hill,Disk,5.0
14322,Interstate 5 (10 miles south of Rte. 165),Triangle,1.0
14328,Manhattan Beach,Triangle,9.0
14329,Rancho Cucamonga,Diamond,32.0
14330,Hermosa Brach,Disk,1.0
14331,San Diego,Fireball,269.0
14333,Mather,Oval,1.0
14335,Rescue,Triangle,2.0
14337,San Jose,Fireball,159.0
14338,Dublin,Disk,9.0
14342,Stockton,Sphere,34.0
14362,Woodland Hills,Cigar,15.0
14387,San Jose,Egg,159.0
14389,Paso Robles,Cigar,13.0
14391,Beverly Hills/ Los Angeles,Circle,1.0
14395,Ridgecrest (near),Unknown,1.0
14396,Ridgecrest,Light,24.0
14398,Manteca,Unknown,15.0
14400,Murrieta,Light,23.0
14401,San Diego,Circle,269.0
14404,Laguna Woods,Circle,5.0
14411,Modesto,Triangle,67.0
14423,Martinez,Light,15.0
14429,Gilroy,Sphere,12.0
14444,San Bernardino/Devore,Unknown,1.0
14448,Gardena,Chevron,4.0
14458,South Gate,Fireball,12.0
14459,Hermosa Beach,Triangle,7.0
14461,Los Angeles,Fireball,249.0
14465,Orange,Unknown,30.0
14495,Palos Verdes,Circle,4.0
14497,Newport Beach,Sphere,27.0
14500,El Dorado Hills,Triangle,5.0
14508,Duarte,Light,4.0
14520,Carson/Los Angeles City,Light,1.0
14522,La Jolla,Triangle,15.0
14540,Sylmar,Disk,10.0
14550,San Jose,Formation,159.0
14556,Escondido,Oval,55.0
14558,Solavang,Fireball,1.0
14568,Victorville,Light,15.0
14577,Palm Springs,Disk,36.0
14578,El Centro,Cylinder,14.0
14592,Wonder Valley,Disk,1.0
14594,Doris/Weed (between),Sphere,1.0
14602,Windsor,Light,9.0
14605,Davis,Changing,23.0
14607,Davis,Other,23.0
14617,Gaviota,,1.0
14618,San Diego,Fireball,269.0
14619,Avila Beach,Changing,2.0
14621,Pismo Beach,Changing,4.0
14622,Solvang,Fireball,3.0
14625,Sacramento,Light,175.0
14630,Long Beach,Fireball,91.0
14648,Jenner,Circle,2.0
14651,Camarillo,Other,10.0
14656,Sacramento,Light,175.0
14665,Redondo Beach,Formation,25.0
14667,Arbuckle,Light,3.0
14670,Lodi,Disk,15.0
14675,Hayward,Sphere,26.0
14679,Encino,Other,6.0
14680,Los Angeles,Formation,249.0
14694,Victorville,Changing,15.0
14702,Huntington Beach,Changing,63.0
14721,Pacifica to Belmont,Light,1.0
14733,Rancho Santa Margarita,Light,10.0
14736,Manteca,Changing,15.0
14740,Santa Ana,Disk,35.0
14741,Playa del Rey,Sphere,7.0
14753,Fairfield,Rectangle,31.0
14754,Woodland,Light,12.0
14756,San Ramon,Egg,12.0
14771,San Diego,Other,269.0
14773,Irvine,Disk,53.0
14781,Manteca,Circle,15.0
14789,Vallejo,Sphere,18.0
14791,Hemet,Formation,27.0
14795,Barstow,Other,10.0
14798,San Francisco,Circle,122.0
14799,Clovis,Other,29.0
14801,Santa Rosa,Light,67.0
14819,Los Angeles,Triangle,249.0
14825,Riverside,Light,67.0
14829,Concord,Light,14.0
14831,Monrovia,Unknown,8.0
14836,San Diego,Disk,269.0
14845,Fremont,Triangle,27.0
14854,Martinez,Light,15.0
14855,Irvine,Disk,53.0
14872,Santa Maria,Other,20.0
14876,Midway City,Triangle,1.0
14877,Ukiah,Light,14.0
14891,San Ramon,Cylinder,12.0
14901,San Francisco,Unknown,122.0
14925,Castro Valley,Circle,16.0
14935,Riverside,Light,67.0
14936,Woodland,Light,12.0
14951,Panoche/Mendota (between; on I-5),Triangle,1.0
14953,Oakland,Light,49.0
14963,Carlsbad,Light,39.0
14967,Sunnyvale,Other,10.0
14977,Cabazon,Light,2.0
14999,Hollywood,Light,15.0
15000,Simi Valley,Oval,34.0
15001,Modesto,Formation,67.0
15021,Malibu,Flash,14.0
15022,San Diego,Rectangle,269.0
15035,San Diego,Light,269.0
15036,San Diego (Clairemont),Fireball,1.0
15039,Carson,Light,6.0
15040,Clovis,Light,29.0
15044,Los Angeles,Cigar,249.0
15058,Los Angeles (downtown),Other,2.0
15081,Carmichael,Light,12.0
15091,Penn Valley,Light,6.0
15095,Whittier,Circle,28.0
15098,Edwards,Light,2.0
15101,San Francisco,Light,122.0
15112,Spring Valley,Circle,13.0
15115,Ludlow,Unknown,1.0
15129,Tustin,Triangle,12.0
15133,Palos Verdes,Other,4.0
15144,San Luis Obispo,Light,14.0
15146,Norco,Formation,4.0
15154,Folsom,Circle,17.0
15156,Antelope,Rectangle,10.0
15157,Citrus Heights,Sphere,17.0
15159,Roseville,Circle,38.0
15164,National City/San Diego,Light,1.0
15172,Granite Bay,Rectangle,7.0
15173,Laguna Hills,Triangle,14.0
15174,Orange,Triangle,30.0
15182,Manteca,Triangle,15.0
15189,Chula Vista,Light,26.0
15202,Beverly Hills,Sphere,5.0
15205,McCloud,Cone,1.0
15208,Lancaster,Circle,28.0
15209,Playa Del Rey,Circle,3.0
15219,Morongo Valley,Light,5.0
15222,Hermosa Beach,Triangle,7.0
15227,Vista,Light,21.0
15232,Morongo Valley,Light,5.0
15234,Los Angeles,Circle,249.0
15237,Santa Rosa,Fireball,67.0
15241,Carlsbad,Cross,39.0
15244,San Francisco,Rectangle,122.0
15249,San Francisco,Triangle,122.0
15250,San Juan Capistrano,Chevron,8.0
15251,Emeryville,Chevron,5.0
15257,Hanford,Disk,7.0
15261,San Francisco,Triangle,122.0
15265,Anaheim,Disk,60.0
15269,Los Angeles,Chevron,249.0
15271,Calabasas,Chevron,5.0
15281,Concord,Cross,14.0
15294,Long Beach,Sphere,91.0
15296,Davis,Light,23.0
15299,Quail Valley,Circle,3.0
15301,Hermosa Beach,Oval,7.0
15302,Long Beach,Fireball,91.0
15304,Los Angeles,Disk,249.0
15306,San Jose,Light,159.0
15313,Mission Viejo,Other,24.0
15314,Mission Viejo,Oval,24.0
15323,Palm Springs,Triangle,36.0
15333,Santa Clara,Chevron,17.0
15334,Norh Hollywood,Fireball,1.0
15345,San Clemente,Sphere,24.0
15348,San Clemente,Sphere,24.0
15349,Dana Point,Circle,15.0
15353,Trabuco Canyon,Cigar,3.0
15356,Arcadia,Sphere,7.0
15359,Palm Springs,,36.0
15368,Sacramento,Rectangle,175.0
15371,Modesto,Triangle,67.0
15385,Pasadena,Chevron,24.0
15388,Foothill Ranch,Flash,4.0
15390,San Diego,Triangle,269.0
15394,Dublin,Oval,9.0
15397,Los Angeles,Cone,249.0
15399,San Luis Obispo,Cylinder,14.0
15407,Pittsburg,,12.0
15424,Marysville,Light,9.0
15429,Port Hueneme,Light,5.0
15432,Redding,Sphere,45.0
15435,Los Angeles,Disk,249.0
15438,El Cajon,Oval,49.0
15464,Long Beach,Formation,91.0
15474,Los Angeles,Light,249.0
15475,El Cajon,Unknown,49.0
15479,Saugus,Triangle,7.0
15480,Saugus,Triangle,7.0
15486,Calistoga,Disk,3.0
15527,Downey,Other,14.0
15529,Laguna Hills,Diamond,14.0
15533,Laguna Niguel,Triangle,17.0
15535,Riverside,Formation,67.0
15536,Los Angeles,Sphere,249.0
15570,Riverside,Cigar,67.0
15572,Oakland,Circle,49.0
15575,Vallejo/Napa,Light,1.0
15579,San Jose,Sphere,159.0
15585,Huntington Beach,Light,63.0
15599,Harbor City,Unknown,4.0
15606,West Los Angeles,Fireball,7.0
15607,Los Angeles,Fireball,249.0
15612,Milpitas,Egg,9.0
15628,Riverside,Sphere,67.0
15634,Fresno,Triangle,96.0
15648,Chino,Fireball,16.0
15660,Baker (20 mi. outside of),Rectangle,1.0
15671,Sherman Oaks,Light,22.0
15672,Long Beach,Circle,91.0
15673,Los Angeles,Light,249.0
15674,Orinda/El Sobrante,Flash,1.0
15675,San Francisco,Light,122.0
15676,Torrance,Unknown,33.0
15677,Placentia,Light,9.0
15688,Huntington Beach,Light,63.0
15694,Stockton,Light,34.0
15705,Sun City,Formation,3.0
15707,Placerville,Cylinder,10.0
15713,Los Angeles,Light,249.0
15722,San Diego,Light,269.0
15728,Dixon,,2.0
15729,Dos Rios,Other,1.0
15733,Truckee (near Donner Lake),Light,1.0
15736,Los Angeles,Light,249.0
15740,Grover Beach,Fireball,5.0
15742,Rancho Palos Verdes,Triangle,6.0
15744,Rialto,Circle,13.0
15748,Huntington Beach,Light,63.0
15769,Westmoreland (5 miles NE of),Formation,1.0
15785,Huntington Beach,Light,63.0
15789,Tracy,Light,18.0
15798,Borrego Springs,Disk,5.0
15803,Brawley,Changing,6.0
15805,San Marcos,Light,13.0
15809,North Hollywood,Cylinder,21.0
15810,Anaheim,Triangle,60.0
15814,Downey,Sphere,14.0
15819,Huntington Beach,Changing,63.0
15820,Huntington Beach,Sphere,63.0
15835,San Diego,Disk,269.0
15836,Mission Hills,Light,4.0
15839,Whittier,Fireball,28.0
15859,Seal Beach,Light,10.0
15860,Rohnert Park,Disk,20.0
15868,Frazier Park,Teardrop,3.0
15876,N. Hollywood,Cone,3.0
15887,Santa Ana,Light,35.0
15898,Hayward,Disk,26.0
15903,Corona,Cigar,53.0
15923,Fresno,Triangle,96.0
15958,Fortuna,Triangle,5.0
15965,Fresno,Rectangle,96.0
15972,Berkeley (Moraga),Sphere,1.0
15977,Victorville,Rectangle,15.0
15979,Modesto,Unknown,67.0
15981,San Francisco/Benicia,Changing,1.0
15989,Chino HIlls,Oval,1.0
15990,Redondo Beach,Sphere,25.0
15997,Santa Barbara,Fireball,54.0
15999,Playa del Rey,Cigar,7.0
16007,Fontana,Formation,23.0
16008,Sun Valley,Triangle,6.0
16009,Anaheim Hills,Oval,2.0
16011,Buena Park,Changing,14.0
16012,Sacramento,Flash,175.0
16015,San Francisco,Light,122.0
16016,Westminster,Teardrop,15.0
16017,San Dimas,Oval,10.0
16018,Berkeley,Disk,23.0
16019,Fremont,Fireball,27.0
16020,Laguna Hills,Fireball,14.0
16021,Manhattan Beach,Light,9.0
16022,Irvine,Fireball,53.0
16023,San Diego,Flash,269.0
16026,Newbury Park,Triangle,6.0
16028,Los Angeles,Disk,249.0
16032,San Leandro,Rectangle,14.0
16037,San Diego,Flash,269.0
16044,Moraga,Light,1.0
16045,San Diego,Unknown,269.0
16046,Ukiah,Disk,14.0
16047,San Diego,Light,269.0
16048,San Diego,,269.0
16051,Anaheim,Disk,60.0
16053,Riverside,Egg,67.0
16055,Fullerton/Anaheim,Circle,1.0
16057,San Francisco,Light,122.0
16064,Van Nuys,Diamond,19.0
16066,Bakersfield,Formation,63.0
16069,Spring Valley,Light,13.0
16080,Orange County/San Bernardino,Disk,1.0
16091,Fairfax,Unknown,3.0
16095,Long Beach,Circle,91.0
16098,Grass Valley,Triangle,19.0
16107,Long Beach,Triangle,91.0
16111,Walnut Creek,Diamond,9.0
16113,Laguna Niguel,Circle,17.0
16116,Anza and Garner Valley (near),Unknown,1.0
16117,Montebello,Fireball,9.0
16122,San Francisco,Sphere,122.0
16136,Bridgeville,Light,2.0
16138,San Pablo,Formation,5.0
16147,San Francisco,Fireball,122.0
16148,Santa Ana,Oval,35.0
16149,Sacramento,Other,175.0
16152,Reseda/Studio City,Disk,1.0
16162,Rancho Cucamonga,Light,32.0
16180,Los Angeles,Light,249.0
16183,Dobbins,Unknown,1.0
16188,Rancho Cucamonga,Light,32.0
16194,Fillmore,Light,4.0
16200,Los Angeles,Other,249.0
16202,Rancho Cucamonga,Light,32.0
16210,Palmdale,Light,34.0
16211,Rancho Cucamonga,Light,32.0
16212,Nipomo,Other,6.0
16223,Norwalk,Sphere,21.0
16228,Concord,Triangle,14.0
16230,Ventura,Chevron,47.0
16231,San Jose,Circle,159.0
16232,Lancaster,Other,28.0
16233,Yankee Hill,Light,1.0
16269,Riverside,Light,67.0
16275,Olivehurst,Oval,4.0
16277,Concord,Unknown,14.0
16281,Pasadena,Sphere,24.0
16290,San Diego,Light,269.0
16294,El Cajon,Changing,49.0
16297,San Diego,Circle,269.0
16302,Canoga Park,Sphere,12.0
16304,Spring Valley,Light,13.0
16308,Palmdale,Circle,34.0
16309,various,Other,1.0
16310,Valley Springs,Changing,5.0
16312,Yorba Linda,Triangle,12.0
16327,Tahoe City,Cigar,4.0
16337,San Pablo Bay (on Napa River),Egg,1.0
16356,Dinuba,Sphere,4.0
16357,Citrus heights,Circle,1.0
16359,Corral Hollow road vicinity (on Interstate 5),Egg,1.0
16361,Fallbrook,Circle,11.0
16362,Oxnard,Other,40.0
16363,El Cajon,Triangle,49.0
16364,La Mesa,Formation,19.0
16365,El Cajon,Triangle,49.0
16366,San Fernando,Other,7.0
16373,San Bernardino,Triangle,39.0
16376,San Diego,Triangle,269.0
16387,Redondo Beach,Circle,25.0
16394,Corona,Circle,53.0
16402,San Clemente,Light,24.0
16406,Torrance,Sphere,33.0
16413,San Jose,Formation,159.0
16419,Palos Verdes Estates,Disk,3.0
16423,Stevenson Ranch,Light,3.0
16426,Rancho Cucamonga,Light,32.0
16431,Anaheim,Circle,60.0
16438,El Segundo,Light,5.0
16441,Mountain View,Disk,8.0
16442,Thousand Oaks,Light,22.0
16459,Angelus Oaks,Circle,1.0
16461,Visalia,Light,35.0
16488,Woodland,Light,12.0
16524,Fresno,Circle,96.0
16529,San Jacinto,Cigar,15.0
16537,San Diego,Light,269.0
16538,San Diego,Cigar,269.0
16539,San Diego,Fireball,269.0
16544,Los Angeles,Circle,249.0
16545,Irvine,Diamond,53.0
16549,Rancho Cordova,Light,7.0
16563,Azusa,Circle,11.0
16564,Los Angeles,Oval,249.0
16573,Grover Beach,Egg,5.0
16589,Lake View Terrace,Sphere,1.0
16605,Berkeley,Sphere,23.0
16622,Pittsburg,Oval,12.0
16627,San Diego,Fireball,269.0
16643,Earp,Formation,3.0
16646,San Diego,Cone,269.0
16651,Los Angeles,Light,249.0
16655,Weaverville,Egg,5.0
16658,Palm Desert,Chevron,26.0
16666,Madera,Sphere,18.0
16668,Shelter Cove,Unknown,1.0
16672,Dinuba,Triangle,4.0
16674,Carlsbad,Light,39.0
16677,Pleasanton,Light,15.0
16679,Duarte,Light,4.0
16683,Hawthorne,Circle,5.0
16695,Berkeley,Sphere,23.0
16696,Oakland,Light,49.0
16697,Rohnert Park,Sphere,20.0
16701,Pismo Beach,Cylinder,4.0
16708,Sacramento/Davis,Light,1.0
16715,Tujunga,Formation,6.0
16717,Kramer,Formation,1.0
16745,Santa Cruz,Triangle,35.0
16748,Simi Valley,Unknown,34.0
16749,Santa Rosa,Unknown,67.0
16751,Los Angeles,Unknown,249.0
16754,Sacramento,Changing,175.0
16755,Roseville,Formation,38.0
16756,Perris,Triangle,11.0
16766,Ventura,Formation,47.0
16767,Santa Clara,Unknown,17.0
16768,Berkeley,Formation,23.0
16770,Marina,Flash,3.0
16777,La Palma,Light,4.0
16795,Long Beach,Triangle,91.0
16813,San Diego,Circle,269.0
16817,Bakersfield,Oval,63.0
16824,San Diego,Circle,269.0
16828,San Francisco,Light,122.0
16860,San Bernardino,Formation,39.0
16865,Orland,Oval,13.0
16870,Long Beach,Changing,91.0
16872,Simi Valley,Triangle,34.0
16876,Dunlap,Light,1.0
16888,Santa Monica,Other,22.0
16895,San Luis Obispo,Circle,14.0
16897,Riverside,Light,67.0
16902,Nipomo,Light,6.0
16912,Hesperia,Light,13.0
16914,Woodland,Sphere,12.0
16925,Montecito,Light,1.0
16928,Murrieta,Circle,23.0
16942,Newport Beach,Rectangle,27.0
16947,Amboy,Light,2.0
16950,Palo Alto,Fireball,11.0
16955,Newport Beach,Circle,27.0
16960,Claremont,Light,10.0
16979,Porterville,Fireball,20.0
16994,Point Richmond,Sphere,2.0
16995,Westly,Chevron,1.0
16997,Duarte,Flash,4.0
17001,Long Beach,,91.0
17019,Arcata,Light,13.0
17031,Hollywood/Burbank city limit,Light,1.0
17037,Cherry Valley,Fireball,2.0
17045,Brea,Oval,7.0
17046,Brea,Oval,7.0
17051,Anaheim,Sphere,60.0
17053,Galt,Triangle,7.0
17062,Fremont,Flash,27.0
17089,Anaheim,Triangle,60.0
17094,Palm Springs,Cigar,36.0
17097,Baker,Light,2.0
17099,San Francisco,Flash,122.0
17133,Long Beach,Light,91.0
17135,El Cajon,Triangle,49.0
17139,Wilmington,Triangle,6.0
17140,Santa Barbara,Sphere,54.0
17164,Campbell,Light,16.0
17165,Modesto,Light,67.0
17167,Ontario,Circle,11.0
17169,Porterville,Circle,20.0
17173,Sun Valley,Light,6.0
17190,Hemet,Light,27.0
17196,Oxnard,Other,40.0
17214,Isla Vista,Triangle,3.0
17215,Santa Barbara,Triangle,54.0
17236,Newark,Triangle,4.0
17239,Encinitas,Sphere,16.0
17257,Arcadia,Cylinder,7.0
17258,Los Angeles,Teardrop,249.0
17291,Santa Barbara,Unknown,54.0
17307,Carson,Other,6.0
17321,Wilmington,Sphere,6.0
17328,Santa Rosa,Light,67.0
17331,Oceanside,Light,32.0
17366,Clovis,Formation,29.0
17424,San Leandro,Unknown,14.0
17431,Los Padres National Forest,Light,1.0
17446,Lincoln,Other,16.0
17458,Morongo Valley,Disk,5.0
17504,Lincoln Heights,Disk,1.0
17555,Alhambra,Flash,4.0
17565,Bass Lake (near),Disk,1.0
17574,Oakland,Light,49.0
17584,Livermore,Light,18.0
17590,Santa Barbara,Light,54.0
17593,Loma Rica,Teardrop,2.0
17594,Roseville,Fireball,38.0
17595,Oak Shores Lake Berryessa,Light,1.0
17609,Hemet,Light,27.0
17612,Santa Barbara,Triangle,54.0
17613,Santa Barbara,Chevron,54.0
17614,San Jacinto,Changing,15.0
17615,San Francisco,Disk,122.0
17617,Fontana,Formation,23.0
17618,Lemoore,Other,6.0
17629,Apple Valley,Triangle,16.0
17636,Sacramento,Cylinder,175.0
17642,Mountain View,Formation,8.0
17643,Quincy,Light,7.0
17645,Milpitas,Sphere,9.0
17647,North Hollywood,Light,21.0
17662,unknown,Formation,2.0
17664,Sacramento,Changing,175.0
17665,Temecula,Circle,47.0
17666,Sacramento,Changing,175.0
17674,Santa Rosa,Sphere,67.0
17695,Cloverdale,Other,6.0
17715,Oakland,Rectangle,49.0
17724,Bakersfield,Light,63.0
17734,Avnol (near),Triangle,1.0
17737,Valley Center,Oval,5.0
17759,Oroville,Cylinder,12.0
17760,Los Angeles,Disk,249.0
17762,Rohnert Park,Triangle,20.0
17770,Victorville,Diamond,15.0
17773,San Jose,Light,159.0
17784,Tiburon,Triangle,3.0
17793,Monterey Park / Los Angeles,Unknown,1.0
17796,Mountain Center,Light,1.0
17797,Interstate 5 (Fresno/Merced Counties),Disk,1.0
17801,Carlsbad,Light,39.0
17809,San Francisco,Fireball,122.0
17821,Santa Barbara,Changing,54.0
17826,Los Angeles,Light,249.0
17853,San Diego,Disk,269.0
17865,Emerald Bay Catalina island,Circle,1.0
17878,Daly City,Disk,10.0
17880,Garden Grove,Light,29.0
17884,Santa Clara,Sphere,17.0
17887,Dana Point,Sphere,15.0
17899,Encino,Light,6.0
17900,Encino,Light,6.0
17903,Gilroy,Sphere,12.0
17909,Bakersfield (near I-5),Other,1.0
17910,Penn Valley,Flash,6.0
17915,Whittier,Light,28.0
17921,Bermuda Dunes,Fireball,2.0
17934,Van Nuys,Circle,19.0
17944,Martinez,Light,15.0
17947,Modesto,Flash,67.0
17950,Barstow,Oval,10.0
17951,Escondido,Teardrop,55.0
17953,Emeryville,Cigar,5.0
17963,San Francisco,Oval,122.0
17965,Oakland,Light,49.0
17994,West Hollywood  and west,Light,1.0
18021,Lakewood,Light,15.0
18026,Soquel,Triangle,4.0
18033,Fallbrook,Other,11.0
18043,La Mirada,Light,9.0
18044,Los Angeles (Lincoln Heights),Circle,2.0
18046,Manteca,Other,15.0
18061,Van Nuys,Circle,19.0
18066,Long Beach/Cerritos,Triangle,1.0
18071,Hollister,Circle,22.0
18074,Elk Grove,Other,33.0
18078,Los Angeles (Lincoln Heights),Disk,2.0
18082,Santa Ana,Unknown,35.0
18086,Visalia,Formation,35.0
18096,La Verne,Rectangle,1.0
18097,Alta Loma,Unknown,3.0
18123,Burbank,Light,48.0
18130,Pomona,Light,27.0
18131,Antioch,Fireball,38.0
18150,Capitola,Light,9.0
18170,Poway,Disk,6.0
18212,Santa Paula,Disk,6.0
18215,Santa Paula,Oval,6.0
18220,Corona,Light,53.0
18229,Pollockpines,Light,1.0
18231,Auberry,Unknown,3.0
18232,Redding,Cigar,45.0
18233,Ridgecrest,Light,24.0
18235,Los Angeles,Sphere,249.0
18288,Escondido,Light,55.0
18290,Los Angeles,Circle,249.0
18291,Leggett,Light,2.0
18292,Sunnyvale,Disk,10.0
18310,Victorville,Circle,15.0
18337,Davis,Other,23.0
18343,Novato (??),Light,1.0
18349,Cabazon,Formation,2.0
18354,Newport Beach,Other,27.0
18357,Lake Forest,Unknown,11.0
18366,Escondido,Flash,55.0
18369,Santa Cruz,Light,35.0
18387,Los Altos,Disk,1.0
18391,Los Angeles,Oval,249.0
18393,San Clemente,Other,24.0
18397,Rancho Santa Margarita,Circle,10.0
18423,Cypress,Changing,4.0
18426,Santa Rosa,Light,67.0
18445,Orange,Other,30.0
18446,Three Rivers,Light,3.0
18452,San Diego,Formation,269.0
18465,Corona,Triangle,53.0
18469,Cathedral City,Oval,15.0
18478,Oceanside,Unknown,32.0
18480,San Jose,Circle,159.0
18484,Walnut,Other,3.0
18486,Sausalito,Light,3.0
18496,Burbank,Rectangle,48.0
18497,Pioneer Town,Unknown,1.0
18519,Highland,Triangle,8.0
18520,San  Jose,Circle,1.0
18528,South San Francisco,Formation,5.0
18530,Fresno,Light,96.0
18548,Death Valley,Light,2.0
18570,San Bernardino,Light,39.0
18573,Redding,Changing,45.0
18574,Los Angeles,Light,249.0
18587,Hesperia,Light,13.0
18606,Redding,Disk,45.0
18608,San Gabriel Valley/Los Angeles,Triangle,1.0
18617,Lemon Grove,Circle,5.0
18638,Sacramento,Light,175.0
18667,Westlake Village,Light,3.0
18674,El Cajon,Light,49.0
18676,El Cajon,Other,49.0
18677,El Cajon,Light,49.0
18678,El Cajon,Light,49.0
18679,El Cajon,Other,49.0
18680,La Mesa/El Cajon,Light,1.0
18681,El Cajon,Light,49.0
18683,El Cajon,Light,49.0
18708,Sacramento,Light,175.0
18718,Los Angeles,Circle,249.0
18724,Mariposa,Fireball,5.0
18740,San Jose,Changing,159.0
18752,Escondido,Light,55.0
18763,Escondido,Cigar,55.0
18765,Cedar Glen,Light,1.0
18773,Mountain Ranch,Light,1.0
18787,San Leandro,Disk,14.0
18794,La Palma,Sphere,4.0
18796,San Diego,Flash,269.0
18797,Hayward,Triangle,26.0
18808,Westlake Village,Flash,3.0
18809,Rolling Hills,Triangle,1.0
18817,San Rafael,Light,24.0
18819,San Diego,Fireball,269.0
18823,Modesto,Light,67.0
18829,Modesto,Cigar,67.0
