,City,Shape,Quantidade
1809,California,Circle,1.0
1820,Mecca,Unknown,2.0
1830,Hollywood,,15.0
1831,Lake Forest,Light,11.0
1843,Pomona,Oval,27.0
1844,Clovis,Circle,29.0
1857,Barstow,Disk,10.0
1875,Palmdale,Sphere,34.0
1899,Laguna Woods,Circle,5.0
1904,Healdsburg,Triangle,7.0
1921,Palm Springs,Other,36.0
1929,Paincines (Pinnacle Rocks in Pinnacles National Monument),Changing,3.0
1947,Valley Springs,Sphere,5.0
1957,Barstow,Circle,10.0
1970,Pinnacles National Monument,Triangle,1.0
1971,unknown,Disk,2.0
1985,Concord,Triangle,14.0
1997,Temecula,Light,47.0
2013,Carmichael,Other,12.0
2023,Altadena,Light,3.0
2025,San Diego,Sphere,269.0
2056,Lompoc,Other,7.0
2069,San Diego,Other,269.0
2073,San Diego,Light,269.0
2123,Fresno (near),Cigar,1.0
2132,Vallejo,Unknown,18.0
2137,Edwards AFB,Triangle,2.0
2167,Earp,Unknown,3.0
2192,Santa Barbara,Triangle,54.0
2193,Lee Vining,Light,2.0
2205,Palo Alto/San Francisco,,1.0
2222,Fremont,Light,27.0
2272,Bakersfield,Sphere,63.0
2280,Willow Creek,Light,1.0
2330,Mammoth Lakes (near ),Formation,1.0
2334,San Bernardino,Light,39.0
2335,Atascadero,Cigar,6.0
2341,Woodland Hills,Sphere,15.0
2348,Union City,Triangle,8.0
2352,Lake Elsinore,Light,23.0
2353,"Furnace Creek, ca (death valley)",Light,1.0
2360,Burlingame,Cigar,2.0
2375,Patterson,Changing,9.0
2376,Los Angeles,Light,249.0
2383,Redding,Fireball,45.0
2387,American Canyon,Cylinder,4.0
2395,San Francisco (50 miles south of),Sphere,1.0
2396,Bakersfield,Changing,63.0
2400,Devore,Oval,2.0
2405,Desert Hot Springs,Chevron,11.0
2406,North Hills,Egg,2.0
2418,Roseville,Other,38.0
2423,San Francisco,Sphere,122.0
2440,Jackson,Circle,3.0
2451,Los Angeles,Unknown,249.0
2461,Los Angeles,Triangle,249.0
2469,Santa Maria,Rectangle,20.0
2499,San Diego,Fireball,269.0
2504,Fallbrook,Light,11.0
2506,Pismo Beach,Light,4.0
2514,Norwalk,Light,21.0
2515,Whittier,Fireball,28.0
2523,Anza Borrego State Park,Triangle,1.0
2549,Crockett,Other,1.0
2553,Eureka,Sphere,19.0
2554,Fairfield,Unknown,31.0
2563,Industry,Oval,1.0
2600,La Quinta,Light,6.0
2619,Huntington Park,Changing,3.0
2620,Malibu,Other,14.0
2633,Orland,Sphere,13.0
2634,Orland,Sphere,13.0
2639,Mira Loma,Fireball,4.0
2645,Santa Clarita,Circle,17.0
2650,Los Angeles,Changing,249.0
2653,Los Angeles,Disk,249.0
2659,San Jose,Other,159.0
2661,Sacramento (60 east of),Light,1.0
2662,El Dorado Hills (Sacramento),Unknown,1.0
2663,Hollister,Unknown,22.0
2664,Fresno,Light,96.0
2667,Nevada City,Light,3.0
2679,Newhall,Circle,5.0
2686,San Jose,Other,159.0
2695,Palm Desert,Light,26.0
2705,Bakersfield,Sphere,63.0
2713,Santa Clara,Oval,17.0
2750,Tranquillity,Circle,1.0
2752,Campbell,Light,16.0
2756,"Malibu, West",Cylinder,1.0
2771,Murrieta,Unknown,23.0
2786,Torrance,Other,33.0
2808,Sonora,Light,11.0
2814,Jacumba,Cigar,1.0
2816,Fresno,Light,96.0
2819,La Puente,Chevron,13.0
2822,San Mateo,Unknown,11.0
2833,Wasco,Unknown,1.0
2845,Esparto,Disk,1.0
2857,La Mirada,Light,9.0
2858,Malibu,Disk,14.0
2867,Redwood City,Sphere,12.0
2868,Los Alamitos,Light,2.0
2878,Carmichael,Triangle,12.0
2879,Campbell,Unknown,16.0
2891,Folsom,Disk,17.0
2898,Oakland,Unknown,49.0
2901,Somes Bar,Light,1.0
2906,Yuba City,Light,10.0
2907,San Jose,Light,159.0
2908,Los Altos Hills,Light,2.0
2909,Sacramento,,175.0
2910,NAS Lemoore,Light,1.0
2921,Twenty Nine Palms,Chevron,6.0
2922,Palmdale,Unknown,34.0
2929,Lafayette,Unknown,5.0
2954,Pomona,Light,27.0
2959,Westminster,Fireball,15.0
2962,San Leandro,Circle,14.0
2982,San Jose,Changing,159.0
2992,San Onofre,Light,1.0
3006,Ukiah,Teardrop,14.0
3008,Woodland Hills,Disk,15.0
3014,Camarillo,Circle,10.0
3029,Pasadena,Unknown,24.0
3038,Crescent City,Unknown,6.0
3041,Riverside,Unknown,67.0
3042,Los Angeles,Light,249.0
3044,Vista,Oval,21.0
3049,Davis,Unknown,23.0
3066,Victorville,Egg,15.0
3100,San Jose,Triangle,159.0
3108,Santa Fe Springs,Egg,4.0
3122,Los Angeles,Other,249.0
3123,Fullerton,Disk,25.0
3136,Pacifica,Cigar,8.0
3138,San Jose,Triangle,159.0
3141,Valley Springs,Flash,5.0
3152,Pittsburg/Antioch,Disk,3.0
3160,Mission Hills,Light,4.0
3171,Sacramento,Unknown,175.0
3189,Murrieta,Triangle,23.0
3193,South Lake Tahoe,Light,10.0
3194,San Clemente,Triangle,24.0
3199,El Cajon,Triangle,49.0
3206,Spring Valley,Disk,13.0
3220,Lafayette,,5.0
3279,Sonora,Disk,11.0
3281,Simi Valley,Light,34.0
3293,Fresno,Triangle,96.0
3296,San Ramon,Sphere,12.0
3297,Mill Valley,Other,3.0
3302,Santa Ana,Formation,35.0
3306,Los Angeles,Sphere,249.0
3310,Canyon Country,Circle,7.0
3340,Bodie (near),Circle,1.0
3368,Marysville,Triangle,9.0
3390,Sonoma,Circle,23.0
3391,Sonoma,Circle,23.0
3392,Sonoma,Fireball,23.0
3395,Richmond,Flash,12.0
3404,Canyon Country,Chevron,7.0
3410,Antelope Acres,Other,1.0
3429,Fresno,Light,96.0
3430,San Fransisco,Diamond,2.0
3431,Colinga (near),Light,1.0
3437,Chula Vista,Light,26.0
3452,Danville,Circle,5.0
3455,San Bruno,Unknown,3.0
3461,Richmond,Circle,12.0
3464,Azusa,Egg,11.0
3471,Novato,Light,11.0
3472,Sonoma,Flash,23.0
3478,Palm Desert,Unknown,26.0
3481,Three Rocks,Triangle,2.0
3491,Newport Beach,Circle,27.0
3497,Yorba Linda,Sphere,12.0
3505,El Monte,Fireball,7.0
3508,Sonora,Fireball,11.0
